iter	Logloss
0	0.6755871943
1	0.6642043267
2	0.6485994798
3	0.6344563739
4	0.620786423
5	0.6072901406
6	0.5948854523
7	0.5853619539
8	0.5765332924
9	0.5661562386
10	0.5567582365
11	0.5476804702
12	0.5393247656
13	0.5316902648
14	0.5253465183
15	0.5198645425
16	0.5135742214
17	0.5075740349
18	0.5018769968
19	0.4968100038
20	0.4927794773
21	0.4879015363
22	0.4834090178
23	0.4792079678
24	0.4752335056
25	0.4718132635
26	0.4682611036
27	0.4654818576
28	0.4623719632
29	0.4598548751
30	0.4574258188
31	0.4550245994
32	0.4533896835
33	0.450722819
34	0.4482989464
35	0.4463040133
36	0.4440903719
37	0.4426614488
38	0.4409761751
39	0.4393721049
40	0.4377531049
41	0.43611252
42	0.4342362508
43	0.4328974872
44	0.4314212012
45	0.430170102
46	0.4286407877
47	0.4274865009
48	0.4263718798
49	0.4251271141
50	0.424070644
51	0.4229812529
52	0.4221606401
53	0.4211379172
54	0.4203059689
55	0.4193250616
56	0.418528865
57	0.4175610415
58	0.4167986293
59	0.4158285738
60	0.4150474107
61	0.4143032258
62	0.4134407298
63	0.4128840653
64	0.4123119143
65	0.4117948535
66	0.4111824097
67	0.4106441904
68	0.4100728141
69	0.4094861535
70	0.4090059505
71	0.4083213392
72	0.4077938662
73	0.4072157147
74	0.4067219527
75	0.4062276635
76	0.4057309307
77	0.4055409559
78	0.4050584895
79	0.4046668875
80	0.4044640629
81	0.403997432
82	0.4036126474
83	0.4032524797
84	0.4028085162
85	0.4023506692
86	0.4020078142
87	0.4016540106
88	0.4014565612
89	0.4011725725
90	0.4008545071
91	0.4007045547
92	0.4003763359
93	0.4001347731
94	0.3998053988
95	0.3995327278
96	0.3993533198
97	0.3990761212
98	0.3987986589
99	0.3985046504
100	0.398195875
101	0.3979298267
102	0.3977015655
103	0.3974556315
104	0.3972395814
105	0.3970303149
106	0.3968240371
107	0.3966022236
108	0.3963493588
109	0.3963244803
110	0.3962359095
111	0.3960162977
112	0.3958105312
