iter	Passed	Remaining
421	2341	3207
422	2347	3202
423	2354	3198
424	2360	3194
425	2366	3188
426	2373	3185
427	2379	3179
428	2385	3175
429	2392	3171
430	2398	3166
431	2406	3163
432	2411	3158
433	2418	3153
434	2424	3148
435	2429	3143
436	2436	3138
437	2442	3133
438	2447	3128
439	2453	3122
440	2460	3118
441	2466	3113
442	2472	3109
443	2478	3103
444	2485	3099
445	2490	3093
446	2496	3088
447	2502	3083
448	2507	3077
449	2513	3072
450	2520	3067
451	2526	3062
452	2531	3057
453	2537	3051
454	2542	3045
455	2547	3039
456	2553	3033
457	2558	3027
458	2564	3022
459	2569	3016
460	2575	3011
461	2582	3006
462	2588	3002
463	2595	2997
464	2601	2993
465	2610	2991
466	2617	2987
467	2623	2982
468	2629	2977
469	2635	2972
470	2644	2969
471	2650	2964
472	2656	2959
473	2662	2954
474	2668	2949
475	2674	2944
476	2679	2938
477	2685	2932
478	2691	2927
479	2696	2921
480	2701	2915
481	2707	2909
482	2713	2904
483	2718	2898
484	2724	2893
485	2729	2887
486	2735	2881
487	2742	2876
488	2747	2871
489	2753	2865
490	2758	2860
491	2764	2854
492	2770	2849
493	2776	2843
494	2782	2838
495	2789	2834
496	2795	2829
497	2801	2824
498	2807	2818
499	2812	2812
500	2818	2806
501	2824	2801
502	2829	2795
503	2835	2790
504	2840	2784
505	2846	2778
506	2852	2773
507	2858	2768
508	2864	2762
509	2870	2757
510	2876	2752
511	2882	2747
512	2888	2741
513	2894	2736
514	2900	2731
515	2905	2725
516	2910	2719
517	2916	2713
518	2922	2708
519	2927	2702
520	2933	2697
521	2939	2691
522	2945	2686
523	2950	2680
524	2956	2675
525	2962	2669
526	2968	2664
527	2974	2658
528	2980	2653
529	2986	2648
530	2991	2642
531	2997	2637
532	3003	2631
533	3009	2626
534	3014	2620
535	3019	2613
536	3024	2607
537	3030	2602
538	3035	2596
539	3042	2591
540	3048	2586
541	3053	2580
542	3060	2575
543	3066	2570
544	3074	2566
545	3080	2561
546	3086	2555
547	3092	2550
548	3098	2545
549	3104	2539
550	3111	2535
551	3117	2530
552	3124	2525
553	3130	2520
554	3136	2514
555	3143	2510
556	3149	2504
557	3156	2500
558	3162	2494
559	3167	2489
560	3173	2483
561	3179	2477
562	3185	2472
563	3191	2467
564	3196	2461
565	3202	2455
566	3208	2450
567	3214	2444
568	3221	2440
569	3230	2437
570	3237	2432
571	3243	2427
572	3250	2422
573	3257	2417
574	3264	2413
575	3271	2407
576	3276	2402
577	3283	2397
578	3289	2391
579	3294	2385
580	3300	2380
581	3306	2374
582	3311	2368
583	3317	2362
584	3322	2356
585	3327	2351
586	3333	2345
587	3338	2339
588	3343	2333
589	3350	2328
590	3356	2322
591	3361	2316
592	3367	2311
593	3372	2305
594	3379	2300
595	3384	2294
596	3390	2288
597	3396	2283
598	3402	2277
599	3407	2271
600	3413	2266
601	3418	2260
602	3424	2254
603	3431	2250
604	3437	2244
605	3443	2238
606	3449	2233
607	3454	2227
608	3460	2222
609	3466	2216
610	3471	2210
611	3477	2204
612	3483	2199
613	3489	2193
614	3495	2188
615	3500	2182
616	3506	2176
617	3512	2170
618	3517	2165
619	3523	2159
620	3528	2153
621	3534	2147
622	3540	2142
623	3545	2136
624	3550	2130
625	3557	2125
626	3562	2119
627	3568	2113
628	3574	2108
629	3579	2102
630	3585	2096
631	3590	2090
632	3597	2085
633	3602	2079
634	3608	2074
635	3614	2068
636	3619	2062
637	3625	2056
638	3630	2050
639	3635	2045
640	3641	2039
641	3646	2033
642	3652	2027
643	3657	2022
644	3663	2016
645	3668	2010
646	3674	2004
647	3680	1999
648	3687	1994
649	3693	1988
650	3699	1983
651	3705	1977
652	3712	1972
653	3720	1968
654	3726	1962
655	3733	1957
656	3739	1952
657	3744	1946
658	3752	1941
659	3758	1936
660	3764	1930
661	3770	1925
662	3776	1919
663	3784	1914
664	3789	1909
665	3795	1903
666	3802	1898
667	3808	1892
668	3815	1887
669	3821	1882
670	3827	1876
671	3833	1871
672	3838	1865
673	3845	1860
674	3851	1854
675	3857	1848
676	3863	1843
677	3869	1837
678	3874	1831
679	3880	1826
680	3886	1820
681	3891	1814
682	3897	1808
683	3903	1803
684	3909	1797
685	3914	1791
686	3919	1785
687	3925	1780
688	3933	1775
689	3939	1770
690	3945	1764
691	3951	1758
692	3956	1752
693	3962	1747
694	3967	1741
695	3973	1735
696	3979	1729
697	3985	1724
698	3991	1718
699	3998	1713
700	4004	1708
701	4009	1702
702	4015	1696
703	4023	1691
704	4030	1686
705	4036	1680
706	4042	1675
707	4048	1669
708	4054	1664
709	4060	1658
710	4065	1652
711	4071	1646
712	4077	1641
713	4082	1635
714	4089	1630
715	4095	1624
716	4101	1618
717	4107	1613
718	4114	1607
719	4120	1602
720	4125	1596
721	4131	1590
722	4137	1585
723	4143	1579
724	4148	1573
725	4154	1567
726	4159	1561
727	4165	1556
728	4171	1550
729	4177	1544
730	4182	1539
731	4188	1533
732	4194	1528
733	4201	1522
734	4206	1516
735	4214	1511
736	4220	1506
737	4226	1500
738	4232	1494
739	4238	1489
740	4244	1483
741	4250	1477
742	4256	1472
743	4262	1466
744	4271	1462
745	4283	1458
746	4289	1452
747	4298	1447
748	4304	1442
749	4314	1438
750	4321	1432
751	4330	1428
752	4338	1423
753	4345	1417
754	4357	1413
755	4369	1410
756	4384	1407
757	4393	1402
758	4400	1397
759	4408	1392
760	4417	1387
761	4425	1382
762	4432	1376
763	4442	1372
764	4449	1366
765	4456	1361
766	4462	1355
767	4469	1350
768	4476	1344
769	4482	1338
770	4490	1333
771	4497	1328
772	4506	1323
773	4512	1317
774	4518	1311
775	4524	1306
776	4530	1300
777	4536	1294
778	4542	1288
779	4547	1282
780	4553	1276
781	4559	1270
782	4565	1265
783	4570	1259
784	4576	1253
785	4582	1247
786	4587	1241
787	4593	1235
788	4599	1229
789	4604	1223
790	4609	1217
791	4614	1211
792	4620	1205
793	4625	1200
794	4631	1194
795	4636	1188
796	4641	1182
797	4647	1176
798	4653	1170
799	4658	1164
800	4664	1158
801	4669	1152
802	4674	1146
803	4681	1141
804	4686	1135
805	4691	1129
806	4697	1123
807	4701	1117
808	4706	1111
809	4713	1105
810	4717	1099
811	4722	1093
812	4728	1087
813	4733	1081
814	4738	1075
815	4747	1070
816	4752	1064
817	4758	1058
818	4763	1052
819	4768	1046
820	4773	1040
821	4778	1034
822	4783	1028
823	4788	1022
824	4794	1016
825	4799	1010
826	4804	1004
827	4809	999
828	4814	993
829	4819	987
830	4824	981
831	4829	975
832	4834	969
833	4840	963
834	4845	957
835	4850	951
836	4855	945
837	4860	939
838	4866	933
